strategy,dataset,patience,size_scale,threshold,accuracy,f1_macro,n_trees
s7_perclient_f1_pcd,Spambase,4,10,0.002,0.9243575823380383,0.9200695188618826,45
s7_perclient_f1_pcd,Spambase,4,10,0.005,0.9243575823380383,0.9200695188618826,45
s7_perclient_f1_pcd,Spambase,4,15,0.001,0.920376402461093,0.9163438122282241,45
s7_perclient_f1_pcd,Spambase,4,15,0.002,0.920376402461093,0.9163438122282241,45
s7_perclient_f1_pcd,Spambase,4,15,0.005,0.920376402461093,0.9163438122282241,45
s7_perclient_f1_pcd,Spambase,5,5,0.001,0.9243575823380383,0.9204027768019171,33
s7_perclient_f1_pcd,Spambase,5,5,0.002,0.923633731451321,0.9196656389001653,27
s7_perclient_f1_pcd,Spambase,5,5,0.005,0.9207383279044516,0.916648677148893,24
s7_perclient_f1_pcd,Spambase,5,10,0.001,0.9243575823380383,0.9200695188618826,45
s7_perclient_f1_pcd,Spambase,5,10,0.002,0.9243575823380383,0.9200695188618826,45
s7_perclient_f1_pcd,Spambase,5,10,0.005,0.9243575823380383,0.9200695188618826,45
s7_perclient_f1_pcd,Spambase,5,15,0.001,0.920376402461093,0.9163438122282241,45
s7_perclient_f1_pcd,Spambase,5,15,0.002,0.920376402461093,0.9163438122282241,45
s7_perclient_f1_pcd,Spambase,5,15,0.005,0.920376402461093,0.9163438122282241,45
pw,Spambase,3,5,0.001,0.9207383279044516,0.9167328224988451,9
pw,Spambase,3,5,0.002,0.9207383279044516,0.9167328224988451,9
pw,Spambase,3,5,0.005,0.9207383279044516,0.9167328224988451,9
pw,Spambase,3,10,0.001,0.9163952225841476,0.9125134930083085,27
pw,Spambase,3,10,0.002,0.9163952225841476,0.9125134930083085,27
pw,Spambase,3,10,0.005,0.9163952225841476,0.9125134930083085,27
pw,Spambase,3,15,0.001,0.9196525515743756,0.9154643420621769,45
pw,Spambase,3,15,0.002,0.9196525515743756,0.9154643420621769,45
pw,Spambase,3,15,0.005,0.9196525515743756,0.9154643420621769,45
pw,Spambase,4,5,0.001,0.9207383279044516,0.9167328224988451,9
pw,Spambase,4,5,0.002,0.9207383279044516,0.9167328224988451,9
pw,Spambase,4,5,0.005,0.9207383279044516,0.9167328224988451,9
pw,Spambase,4,10,0.001,0.9163952225841476,0.9125134930083085,27
pw,Spambase,4,10,0.002,0.9163952225841476,0.9125134930083085,27
pw,Spambase,4,10,0.005,0.9163952225841476,0.9125134930083085,27
pw,Spambase,4,15,0.001,0.9196525515743756,0.9154643420621769,45
pw,Spambase,4,15,0.002,0.9196525515743756,0.9154643420621769,45
pw,Spambase,4,15,0.005,0.9196525515743756,0.9154643420621769,45
pw,Spambase,5,5,0.001,0.9207383279044516,0.9167328224988451,9
pw,Spambase,5,5,0.002,0.9207383279044516,0.9167328224988451,9
pw,Spambase,5,5,0.005,0.9207383279044516,0.9167328224988451,9
pw,Spambase,5,10,0.001,0.9163952225841476,0.9125134930083085,27
pw,Spambase,5,10,0.002,0.9163952225841476,0.9125134930083085,27
pw,Spambase,5,10,0.005,0.9163952225841476,0.9125134930083085,27
pw,Spambase,5,15,0.001,0.9196525515743756,0.9154643420621769,45
pw,Spambase,5,15,0.002,0.9196525515743756,0.9154643420621769,45
pw,Spambase,5,15,0.005,0.9196525515743756,0.9154643420621769,45
