strategy,dataset,config,accuracy,f1_macro,n_trees
s3_global_f1,Optdigits,Baseline,0.951067615658363,0.9511394587079067,40
s3_global_f1,Optdigits,Var A (Thresh=0.0),0.951067615658363,0.9511394587079067,40
s3_global_f1,Optdigits,Var B (Episode=10),0.951067615658363,0.9511394587079067,40
s3_global_f1,Optdigits,Var C (Episode=15),0.9572953736654805,0.9574166249645203,45
s3_global_f1,Optdigits,Var D (Patience=4),0.951067615658363,0.9511394587079067,40
s4_global_f1_pcd,Optdigits,Baseline,0.9575919335705813,0.9576496651983558,40
s4_global_f1_pcd,Optdigits,Var A (Thresh=0.0),0.9575919335705813,0.9576496651983558,40
s4_global_f1_pcd,Optdigits,Var B (Episode=10),0.9581850533807829,0.9583054799431497,40
s4_global_f1_pcd,Optdigits,Var C (Episode=15),0.9578884934756822,0.9580113855662336,45
s4_global_f1_pcd,Optdigits,Var D (Patience=4),0.9575919335705813,0.9576496651983558,40
s5_perclient_accuracy,Optdigits,Baseline,0.9386120996441281,0.9389056058618972,18
s5_perclient_accuracy,Optdigits,Var A (Thresh=0.0),0.9575919335705813,0.9576599901848916,42
s5_perclient_accuracy,Optdigits,Var B (Episode=10),0.9386120996441281,0.9389056058618972,18
s5_perclient_accuracy,Optdigits,Var C (Episode=15),0.9386120996441281,0.9389056058618972,18
s5_perclient_accuracy,Optdigits,Var D (Patience=4),0.9386120996441281,0.9389056058618972,18
s6_perclient_f1,Optdigits,Baseline,0.9386120996441281,0.9389056058618972,18
s6_perclient_f1,Optdigits,Var A (Thresh=0.0),0.9575919335705813,0.9576599901848916,42
s6_perclient_f1,Optdigits,Var B (Episode=10),0.9386120996441281,0.9389056058618972,18
s6_perclient_f1,Optdigits,Var C (Episode=15),0.9386120996441281,0.9389056058618972,18
s6_perclient_f1,Optdigits,Var D (Patience=4),0.9386120996441281,0.9389056058618972,18
s7_perclient_f1_pcd,Optdigits,Baseline,0.9590747330960854,0.9591320387292622,42
s7_perclient_f1_pcd,Optdigits,Var A (Thresh=0.0),0.9590747330960854,0.9591320387292622,42
s7_perclient_f1_pcd,Optdigits,Var B (Episode=10),0.9590747330960854,0.9591320387292622,42
s7_perclient_f1_pcd,Optdigits,Var C (Episode=15),0.9590747330960854,0.9591320387292622,42
s7_perclient_f1_pcd,Optdigits,Var D (Patience=4),0.9590747330960854,0.9591320387292622,42
pw,Optdigits,Baseline,0.9412811387900356,0.940857005223506,9
pw,Optdigits,Var A (Thresh=0.0),0.9412811387900356,0.940857005223506,9
pw,Optdigits,Var D (Patience=4),0.9412811387900356,0.940857005223506,9
s2_global_accuracy,Nursery,Baseline,0.9620627572016461,0.9213993009431398,20
s2_global_accuracy,Nursery,Var A (Thresh=0.0),0.9650205761316872,0.9298652090460573,40
s2_global_accuracy,Nursery,Var B (Episode=10),0.9650205761316872,0.9298652090460573,40
s2_global_accuracy,Nursery,Var C (Episode=15),0.9661779835390947,0.9340391731894737,45
s2_global_accuracy,Nursery,Var D (Patience=4),0.9620627572016461,0.9213993009431398,20
s3_global_f1,Nursery,Baseline,0.9663065843621399,0.9373388840976414,35
s3_global_f1,Nursery,Var A (Thresh=0.0),0.9679783950617283,0.9383998715499348,40
s3_global_f1,Nursery,Var B (Episode=10),0.9679783950617283,0.9383998715499348,40
s3_global_f1,Nursery,Var C (Episode=15),0.9664351851851851,0.9364060350141012,45
s3_global_f1,Nursery,Var D (Patience=4),0.9663065843621399,0.9373388840976414,35
s4_global_f1_pcd,Nursery,Baseline,0.9663065843621399,0.9373388840976414,35
s4_global_f1_pcd,Nursery,Var A (Thresh=0.0),0.9679783950617283,0.9383998715499348,40
s4_global_f1_pcd,Nursery,Var B (Episode=10),0.9679783950617283,0.9383998715499348,40
s4_global_f1_pcd,Nursery,Var C (Episode=15),0.9664351851851851,0.9364060350141012,45
s4_global_f1_pcd,Nursery,Var D (Patience=4),0.9663065843621399,0.9373388840976414,35
s5_perclient_accuracy,Nursery,Baseline,0.955761316872428,0.9186345891360986,9
s5_perclient_accuracy,Nursery,Var A (Thresh=0.0),0.9669495884773663,0.936318487838031,42
s5_perclient_accuracy,Nursery,Var B (Episode=10),0.955761316872428,0.9186345891360986,9
s5_perclient_accuracy,Nursery,Var C (Episode=15),0.955761316872428,0.9186345891360986,9
s5_perclient_accuracy,Nursery,Var D (Patience=4),0.955761316872428,0.9186345891360986,9
s6_perclient_f1,Nursery,Baseline,0.9598765432098766,0.9280017741438519,9
s6_perclient_f1,Nursery,Var A (Thresh=0.0),0.967335390946502,0.9362891361960277,42
s6_perclient_f1,Nursery,Var B (Episode=10),0.9598765432098766,0.9280017741438519,9
s6_perclient_f1,Nursery,Var C (Episode=15),0.9598765432098766,0.9280017741438519,9
s6_perclient_f1,Nursery,Var D (Patience=4),0.9598765432098766,0.9280017741438519,9
s7_perclient_f1_pcd,Nursery,Baseline,0.9651491769547325,0.9337033492082277,30
s7_perclient_f1_pcd,Nursery,Var A (Thresh=0.0),0.9673353909465021,0.9379014931072017,42
s7_perclient_f1_pcd,Nursery,Var B (Episode=10),0.9651491769547325,0.9337033492082277,30
s7_perclient_f1_pcd,Nursery,Var C (Episode=15),0.9651491769547325,0.9337033492082277,30
s7_perclient_f1_pcd,Nursery,Var D (Patience=4),0.9651491769547325,0.9337033492082277,30
pw,Nursery,Baseline,0.6547067901234568,0.3837837837837837,9
pw,Nursery,Var A (Thresh=0.0),0.6547067901234568,0.3837837837837837,9
pw,Nursery,Var D (Patience=4),0.6547067901234568,0.3837837837837837,9
