strategy,dataset,patience,size_scale,threshold,accuracy,f1_macro,n_trees
s7_perclient_f1_pcd,Spambase,3,10,0.002,0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,3,10,0.005,0.9189287006876583,0.9143205498312007,18
s7_perclient_f1_pcd,Spambase,3,15,0.001,0.9229098805646037,0.9188216993566969,42
s7_perclient_f1_pcd,Spambase,3,15,0.002,0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,3,15,0.005,0.9189287006876583,0.9143205498312007,18
s7_perclient_f1_pcd,Spambase,4,5,0.001,0.9229098805646037,0.9188216993566969,42
s7_perclient_f1_pcd,Spambase,4,5,0.002,0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,4,5,0.005,0.9189287006876583,0.9143205498312007,18
s7_perclient_f1_pcd,Spambase,4,10,0.001,0.9229098805646037,0.9188216993566969,42
s7_perclient_f1_pcd,Spambase,4,10,0.002,0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,4,10,0.005,0.9189287006876583,0.9143205498312007,18
s7_perclient_f1_pcd,Spambase,4,15,0.001,0.9229098805646037,0.9188216993566969,42
s7_perclient_f1_pcd,Spambase,4,15,0.002,0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,4,15,0.005,0.9189287006876583,0.9143205498312007,18
s7_perclient_f1_pcd,Spambase,5,5,0.001,0.9229098805646037,0.9188216993566969,42
s7_perclient_f1_pcd,Spambase,5,5,0.002,0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,5,5,0.005,0.9189287006876583,0.9143205498312007,18
s7_perclient_f1_pcd,Spambase,5,10,0.001,0.9229098805646037,0.9188216993566969,42
s7_perclient_f1_pcd,Spambase,5,10,0.002,0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,5,10,0.005,0.9189287006876583,0.9143205498312007,18
s7_perclient_f1_pcd,Spambase,5,15,0.001,0.9229098805646037,0.9188216993566969,42
s7_perclient_f1_pcd,Spambase,5,15,0.002,0.9229098805646037,0.918792219478782,27
s7_perclient_f1_pcd,Spambase,5,15,0.005,0.9189287006876583,0.9143205498312007,18
pw,Spambase,3,5,0.001,0.9185667752442996,0.9144515299645669,9
pw,Spambase,3,5,0.002,0.9185667752442996,0.9144515299645669,9
pw,Spambase,3,5,0.005,0.9185667752442996,0.9144515299645669,9
pw,Spambase,3,10,0.001,0.9066232356134636,0.9018551928548062,27
pw,Spambase,3,10,0.002,0.0,0.0,0
pw,Spambase,3,10,0.005,0.0,0.0,0
pw,Spambase,3,15,0.001,0.0,0.0,0
pw,Spambase,3,15,0.002,0.0,0.0,0
pw,Spambase,3,15,0.005,0.0,0.0,0
pw,Spambase,4,5,0.001,0.9185667752442996,0.9144515299645669,9
pw,Spambase,4,5,0.002,0.9185667752442996,0.9144515299645669,9
pw,Spambase,4,5,0.005,0.9185667752442996,0.9144515299645669,9
pw,Spambase,4,10,0.001,0.9066232356134636,0.9018551928548062,27
pw,Spambase,4,10,0.002,0.0,0.0,0
pw,Spambase,4,10,0.005,0.0,0.0,0
pw,Spambase,4,15,0.001,0.0,0.0,0
pw,Spambase,4,15,0.002,0.0,0.0,0
pw,Spambase,4,15,0.005,0.0,0.0,0
pw,Spambase,5,5,0.001,0.9185667752442996,0.9144515299645669,9
pw,Spambase,5,5,0.002,0.9185667752442996,0.9144515299645669,9
pw,Spambase,5,5,0.005,0.9185667752442996,0.9144515299645669,9
pw,Spambase,5,10,0.001,0.9066232356134636,0.9018551928548062,27
pw,Spambase,5,10,0.002,0.0,0.0,0
pw,Spambase,5,10,0.005,0.0,0.0,0
pw,Spambase,5,15,0.001,0.0,0.0,0
pw,Spambase,5,15,0.002,0.0,0.0,0
pw,Spambase,5,15,0.005,0.0,0.0,0
